Ensembl Gene ID	Unigene ID
ENSG00000084073	Hs.618208
ENSG00000084092	Hs.8715
ENSG00000084110	Hs.190783
ENSG00000084110	Hs.742210
ENSG00000084463	Hs.524281
ENSG00000084463	Hs.655138
ENSG00000084674	Hs.120759
ENSG00000084734	Hs.89771
ENSG00000085063	Hs.278573
ENSG00000085063	Hs.610292
ENSG00000085415	Hs.594046
ENSG00000085415	Hs.301048
ENSG00000085415	Hs.708212
ENSG00000085415	Hs.731967
ENSG00000085511	Hs.390428
ENSG00000085721	Hs.460078
ENSG00000085721	Hs.657799
ENSG00000085760	Hs.149894
ENSG00000085872	Hs.674560
ENSG00000085872	Hs.740364
ENSG00000086065	Hs.635313
ENSG00000086200	Hs.482269
ENSG00000086200	Hs.609826
ENSG00000086289	Hs.563491
ENSG00000086289	Hs.729190
ENSG00000086504	
ENSG00000086589	Hs.713564
ENSG00000086730	
ENSG00000086827	Hs.503886
ENSG00000086827	Hs.644799
ENSG00000086848	Hs.503850
ENSG00000087074	Hs.622397
ENSG00000087074	Hs.631593
ENSG00000087074	Hs.704109
ENSG00000087087	Hs.111801
ENSG00000087088	Hs.717082
ENSG00000087111	Hs.462550
ENSG00000087157	Hs.654671
ENSG00000087157	Hs.666406
ENSG00000087191	Hs.593889
ENSG00000087191	Hs.79387
ENSG00000087206	Hs.232721
ENSG00000087237	Hs.89538
ENSG00000087250	
ENSG00000087263	Hs.567110
ENSG00000087263	Hs.231883
ENSG00000087263	Hs.672103
ENSG00000087263	Hs.682310
ENSG00000087266	Hs.167679
ENSG00000087269	Hs.627133
ENSG00000087299	Hs.256034
ENSG00000087301	Hs.532609
ENSG00000087302	Hs.597320
ENSG00000087302	Hs.630870
ENSG00000087365	Hs.406423
ENSG00000087365	Hs.635264
ENSG00000087365	Hs.656571
ENSG00000087365	Hs.690027
ENSG00000087494	Hs.607264
ENSG00000087842	
ENSG00000087884	Hs.503357
ENSG00000088035	Hs.258501
ENSG00000088038	
ENSG00000088205	Hs.363492
ENSG00000088205	Hs.744922
ENSG00000088325	Hs.244580
ENSG00000088356	
ENSG00000088543	Hs.517860
ENSG00000088543	Hs.626332
ENSG00000088682	Hs.513632
ENSG00000088726	Hs.475502
ENSG00000088726	Hs.737335
ENSG00000088766	Hs.224764
ENSG00000088766	Hs.706380
ENSG00000088766	Hs.743956
ENSG00000088782	Hs.99362
ENSG00000088854	Hs.516853
ENSG00000088854	Hs.694560
ENSG00000088854	Hs.713335
ENSG00000088854	Hs.740989
ENSG00000088888	Hs.570362
ENSG00000088930	Hs.255932
ENSG00000088930	Hs.644644
ENSG00000088992	
ENSG00000089009	
ENSG00000089048	Hs.606424
ENSG00000089048	Hs.369284
ENSG00000089050	Hs.69330
ENSG00000089053	Hs.7101
ENSG00000089053	Hs.690132
ENSG00000089063	Hs.472024
ENSG00000089063	Hs.743665
ENSG00000089091	Hs.472225
ENSG00000089101	Hs.729168
ENSG00000089154	Hs.298716
ENSG00000089157	Hs.674049
ENSG00000089157	Hs.729957
ENSG00000089195	Hs.128791
ENSG00000089199	Hs.516874
ENSG00000089199	Hs.629339
ENSG00000089234	Hs.530940
ENSG00000089248	Hs.75841
ENSG00000089248	Hs.714226
ENSG00000089289	Hs.496267
ENSG00000089327	
ENSG00000089685	Hs.606084
ENSG00000089685	Hs.744872
ENSG00000089692	Hs.409523
ENSG00000089737	Hs.510328
ENSG00000089737	Hs.622038
ENSG00000090013	
ENSG00000090054	
ENSG00000090263	Hs.593818
ENSG00000090266	
ENSG00000090316	Hs.139896
ENSG00000090316	Hs.735185
ENSG00000090432	Hs.10101
ENSG00000090432	Hs.702847
ENSG00000090447	Hs.599020
ENSG00000090447	Hs.513305
ENSG00000090470	Hs.458596
ENSG00000090487	
ENSG00000090534	Hs.1166
ENSG00000090534	Hs.734657
ENSG00000090554	Hs.734589
ENSG00000090581	Hs.241575
ENSG00000090615	Hs.507333
ENSG00000090615	Hs.714198
ENSG00000090615	Hs.737975
ENSG00000090863	Hs.109731
ENSG00000090971	Hs.31854
ENSG00000091140	Hs.131711
ENSG00000091140	Hs.614218
ENSG00000091482	Hs.86492
ENSG00000091483	Hs.592490
ENSG00000091527	Hs.518265
ENSG00000091542	Hs.744130
ENSG00000091640	Hs.90436
ENSG00000091640	Hs.736531
ENSG00000091651	Hs.49760
ENSG00000091651	Hs.630242
ENSG00000091732	Hs.194157
ENSG00000091732	Hs.710261
ENSG00000091947	Hs.614183
ENSG00000091972	Hs.79015
ENSG00000092094	Hs.597888
ENSG00000092094	Hs.525196
ENSG00000092108	Hs.369168
ENSG00000092201	Hs.213724
ENSG00000092201	Hs.623612
ENSG00000092208	Hs.652307
ENSG00000092208	Hs.722259
ENSG00000092330	Hs.496191
ENSG00000092470	Hs.250154
ENSG00000092853	Hs.175613
ENSG00000092931	Hs.668258
ENSG00000092931	Hs.732019
ENSG00000093000	Hs.475103
ENSG00000093000	Hs.630807
ENSG00000093000	Hs.739648
ENSG00000093009	Hs.474217
ENSG00000093009	Hs.742418
ENSG00000093072	Hs.604611
ENSG00000093072	Hs.170310
ENSG00000093072	Hs.619053
ENSG00000093144	Hs.486410
ENSG00000093144	Hs.685427
ENSG00000093217	Hs.659985
ENSG00000094841	Hs.608732
ENSG00000094841	Hs.614532
ENSG00000094880	Hs.73625
ENSG00000094880	Hs.629186
ENSG00000094880	Hs.642572
ENSG00000094880	Hs.735070
ENSG00000094914	Hs.369144
ENSG00000094975	Hs.204559
ENSG00000094975	Hs.745270
ENSG00000095002	Hs.597656
ENSG00000095059	Hs.79064
ENSG00000095139	Hs.33642
ENSG00000095261	Hs.193725
ENSG00000095261	Hs.708603
ENSG00000095380	Hs.665191
ENSG00000095713	Hs.500736
ENSG00000095739	Hs.533336
